claim_id,anchor,section,claim_type,severity,claim_text,expected_evidence_type,verification_method,pass_criteria,status,evidence_anchor,notes,original_anchor
claim-0001,docs/src/assurance/index.md:3,assurance,behavioral,medium,"This section is for readers who want confidence that behavior remains safe under stress, not only that normal workflows exist.",,,,removed,N/A (docs-only framing claim; no runtime/test anchor),"Remove: “This section is for readers who want confidence…”; this is documentation intent, not a behavior/evidence statement.",docs/src/assurance/index.md:3
claim-0002,docs/src/assurance/index.md:8,assurance,descriptive,low,- DCS data semantics and write ownership,,,,verified,"`/home/joshazimullah.linux/work_mounts/patroni_rewrite/pgtuskmaster_rust/src/dcs/store.rs:102-113` (`write_local_member` path ownership), `116-131` (`refresh_from_etcd_watch` reset handling), `/home/.../src/dcs/worker.rs:78-84` (self-member write on changed pg version) plus `/home/.../src/dcs/worker.rs:470-523` (self-member write ownership), `/home/.../src/dcs/store.rs:533-587` (`refresh_reset_clears_cached_records_but_preserves_config`)",Verified that member records are written to self-owned path and DCS cache refresh/reset semantics are explicit and bounded to owned state semantics.,docs/src/assurance/index.md:8
claim-0003,docs/src/assurance/runtime-topology.md:3,assurance,descriptive,low,"A node contains multiple specialized workers with bounded responsibilities. In practice it manages a local PostgreSQL instance and participates in DCS coordination, with additional API/debug/logging workers to expose state and operator controls.",,,,rewritten,"[src/runtime/node.rs:650-753]( /home/joshazimullah.linux/work_mounts/patroni_rewrite/pgtuskmaster_rust/src/runtime/node.rs:650 ) (`run_node_from_config`; contexts for `pginfo`, `dcs`, `process`, `ha`, `api`, `debug_api`, `logging::postgres_ingest`), [src/worker_contract_tests.rs:237-255]( /home/joshazimullah.linux/work_mounts/patroni_rewrite/pgtuskmaster_rust/src/worker_contract_tests.rs:237 ) (`pginfo_worker`,`dcs_worker`,`process_worker`,`ha_worker`,`api_worker`)","Rewritten: “A node hosts multiple bounded workers including `pginfo`, `dcs`, `process`, `ha`, `api`, `debug_api`, and `logging/postgres_ingest`, with explicit inter-worker channels and coordinated startup in `run_node_from_config`; this is broader than “local PostgreSQL management plus DCS coordination.”",docs/src/assurance/runtime-topology.md:3
claim-0004,docs/src/assurance/runtime-topology.md:9,assurance,descriptive,low,Dcs[DCS worker],,,,verified,"[src/dcs/worker.rs:27-32]( /home/joshazimullah.linux/work_mounts/patroni_rewrite/pgtuskmaster_rust/src/dcs/worker.rs:27 ) (`pub(crate) async fn run`), [src/runtime/node.rs:659-674]( /home/joshazimullah.linux/work_mounts/patroni_rewrite/pgtuskmaster_rust/src/runtime/node.rs:659 ) (`DcsWorkerCtx` setup and worker invocation)","The Dcs worker exists and runs as a dedicated runtime worker with explicit context and `step_once`/`run` contract, and is started by the node runtime.",docs/src/assurance/runtime-topology.md:9
claim-0005,docs/src/assurance/runtime-topology.md:17,assurance,descriptive,low,DCS[(etcd)] --> Dcs,,,,verified,"[src/dcs/etcd_store.rs:43-53]( /home/joshazimullah.linux/work_mounts/patroni_rewrite/pgtuskmaster_rust/src/dcs/etcd_store.rs:43 ) (`EtcdDcsStore` + connect), [src/dcs/etcd_store.rs:662-711]( /home/joshazimullah.linux/work_mounts/patroni_rewrite/pgtuskmaster_rust/src/dcs/etcd_store.rs:662 ) (`impl DcsStore for EtcdDcsStore`), [src/runtime/node.rs:657-659]( /home/joshazimullah.linux/work_mounts/patroni_rewrite/pgtuskmaster_rust/src/runtime/node.rs:657 ) (`EtcdDcsStore::connect` into runtime workers)","Verified: the concrete store implementation is etcd-based, and runtime wiring instantiates the etcd-backed store for DCS paths used by DCS/HA/API components.",docs/src/assurance/runtime-topology.md:17
claim-0006,docs/src/assurance/runtime-topology.md:18,assurance,descriptive,low,Dcs --> Ha,,,,verified,"[src/ha/state.rs:62-76]( /home/joshazimullah.linux/work_mounts/patroni_rewrite/pgtuskmaster_rust/src/ha/state.rs:62 ) (`HaWorkerCtx` has `dcs_subscriber`), [src/ha/worker.rs:46-54]( /home/joshazimullah.linux/work_mounts/patroni_rewrite/pgtuskmaster_rust/src/ha/worker.rs:46 ) (awaits DCS snapshot changes), [src/ha/worker.rs:325-331]( /home/joshazimullah.linux/work_mounts/patroni_rewrite/pgtuskmaster_rust/src/ha/worker.rs:325 ) (`world_snapshot` includes `dcs`), [src/ha/decide.rs:31-79]( /home/joshazimullah.linux/work_mounts/patroni_rewrite/pgtuskmaster_rust/src/ha/decide.rs:31 ) (`dcs`-driven decisions)",Verified: HA logic consumes DCS state via subscriber snapshots and applies it in transition decisions; it also writes HA coordination back to DCS where needed.,docs/src/assurance/runtime-topology.md:18
claim-0007,docs/src/assurance/runtime-topology.md:21,assurance,descriptive,low,Api --> DCS,,,,verified,"[src/api/worker.rs:31-32]( /home/joshazimullah.linux/work_mounts/patroni_rewrite/pgtuskmaster_rust/src/api/worker.rs:31 ) (`dcs_store` field), [src/api/worker.rs:148-155]( /home/joshazimullah.linux/work_mounts/patroni_rewrite/pgtuskmaster_rust/src/api/worker.rs:148 ) (`POST /switchover`, `DELETE /ha/switchover`), [src/api/controller.rs:19-49]( /home/joshazimullah.linux/work_mounts/patroni_rewrite/pgtuskmaster_rust/src/api/controller.rs:19 ) (`post_switchover`/`delete_switchover` mutating DCS keys)",Verified: the API worker/controller writes and clears DCS-managed switchover state through the DCS store in response to API actions.,docs/src/assurance/runtime-topology.md:21
claim-0008,docs/src/assurance/decision-model.md:6,assurance,descriptive,low,- DCS trust and coordination records,,,,verified,"`src/ha/decide.rs:20-31` (`decide` reads `world.dcs.value.trust`, `world.dcs.value.cache.leader`, `world.dcs.value.cache.switchover`), `src/ha/decide.rs:45-58` (adds DCS trust gating), `src/dcs/state.rs:87-103` (`evaluate_trust`)",Verified as shorthand: the decision function explicitly consumes DCS-derived trust and cache signals when selecting HA behavior.,docs/src/assurance/decision-model.md:6
claim-0009,docs/src/assurance/decision-model.md:14,assurance,descriptive,low,DCS[DCS trust + cache] --> Decide,,,,verified,"`src/ha/worker.rs:72-80` (step path always builds `WorldSnapshot` and calls `decide`), `src/ha/worker.rs:83-84` (publishes `output.next`), `src/ha/decide.rs:20-31` (`decide` input includes DCS trust/cache), `src/ha/decide.rs:51-59`","Verified: DCS trust + cache are direct, explicit inputs to the decision engine (`decide`) through the standard HA worker step path.",docs/src/assurance/decision-model.md:14
claim-0010,docs/src/assurance/decision-model.md:17,assurance,descriptive,low,Decide --> Writes[DCS writes],,,,verified,"`src/ha/worker.rs:99-129` (`dispatch_actions` maps `AcquireLeaderLease`, `ReleaseLeaderLease`, `ClearSwitchover` to DCS store operations), `src/ha/worker.rs:1134-1157` (`dispatch_actions_maps_dcs_and_process_requests` asserts one leader write and one delete from actions)","Verified: transitions produced by `decide` become concrete action outputs, and decision outputs directly trigger DCS write/delete operations in worker dispatch.",docs/src/assurance/decision-model.md:17
claim-0011,docs/src/assurance/decision-model.md:22,assurance,invariant,high,"The HA worker uses a single decision function to map explicit inputs (PostgreSQL view, DCS cache/trust, current phase) into a next phase and action set. Operator control inputs (like switchover requests) enter the same pipeline via DCS rather than bypassing it.",,,,verified,"`src/ha/worker.rs:72-80` (all periodic HA steps go through `decide`), `src/ha/decide.rs:20-217` (decision matrix and transitions), `src/api/controller.rs:13-49` (`post_switchover` writes `/scope/switchover`), `src/api/worker.rs:191-214` (control/observation API routes)","Uncertain: internal HA phase progression is centrally decided, but external explicit API mutations into DCS (`/switchover`, `/ha/switchover`) are also valid control inputs; that means not all transition impetus is single internal source, only single internal decision model for worker-driven transitions. Follow-up: add explicit trace assertions proving which state transitions can only originate from `decide` outputs.
Status updated to verified: HA decision path is centralized and switchover intent flows via DCS, consistent with referenced code/tests.",docs/src/assurance/decision-model.md:22
claim-0012,docs/src/assurance/dcs-data-model.md:1,assurance,descriptive,low,# DCS Data Model and Write Paths,,,,removed,`src/dcs/keys.rs` (DcsKey + key_from_path),"Rewritten wording: “The DCS record surface is defined in code (`DcsKey`, `key_from_path`, and path builders in `src/dcs/store.rs`), not by documentation headers.”; status adjusted in adjudication: heading/table-of-contents line, not a verifiable behavioral claim",docs/src/assurance/dcs-data-model.md:1
claim-0013,docs/src/assurance/dcs-data-model.md:3,assurance,descriptive,low,"Yes, the docs explicitly include what is written into DCS and how ownership works.",,,,verified,`src/dcs/keys.rs` (`DcsKey` variants member/leader/switchover/init-lock/config); `src/dcs/store.rs` (path constructors and typed write methods),"The code enumerates concrete DCS record classes and has typed write paths that assert what gets written; this is also validated by unit tests in `store` (e.g., member-path-only assertions and per-writer path correctness).",docs/src/assurance/dcs-data-model.md:3
claim-0014,docs/src/assurance/dcs-data-model.md:5,assurance,descriptive,low,The DCS namespace is scoped under `/<scope>/...` and stores coordination records with clear writers.,,,,verified,`src/dcs/keys.rs` scoped key parsing/path forms,"`key_from_path` enforces `/<scope>/...` style keys and rejects malformed paths, and unit tests confirm accepted/rejected path formats, including scoped member/leader/switchover keys.",docs/src/assurance/dcs-data-model.md:5
claim-0015,docs/src/assurance/dcs-data-model.md:11,assurance,descriptive,low,| `/<scope>/member/<member_id>` | DCS worker | publish local member state |,,,,verified,`src/dcs/store.rs` `write_local_member`; `src/dcs/worker.rs` membership cache/write on local state change; `src/dcs/store.rs` `write_local_member_writes_only_member_path` test,"The DCS worker path writes member state via `write_local_member`, and store tests assert it only targets the member path (owner and namespace are explicit in writer path builders).",docs/src/assurance/dcs-data-model.md:11
